ID	PATH
ERR4682840	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682840/ERR4682840.lite.1
ERR4682857	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4682/ERR4682857/ERR4682857.lite.1
ERR2592257	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2592/ERR2592257/ERR2592257.lite.2
ERR2683234	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2683/ERR2683234/ERR2683234.lite.2
ERR2683235	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2683/ERR2683235/ERR2683235.lite.2
ERR4678577	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678577/ERR4678577.lite.1
ERR4678578	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678578/ERR4678578.lite.1
ERR4682785	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4682/ERR4682785/ERR4682785.lite.1
ERR4678686	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678686/ERR4678686.lite.1
ERR4678687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678687/ERR4678687.lite.1
ERR4678688	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4678/ERR4678688/ERR4678688.lite.1
ERR4678691	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678691/ERR4678691.lite.1
ERR4678692	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678692/ERR4678692.lite.1
ERR2683197	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2683/ERR2683197/ERR2683197.lite.2
ERR4678671	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678671/ERR4678671.lite.1
ERR4678672	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678672/ERR4678672.lite.1
ERR4678673	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678673/ERR4678673.lite.1
ERR4678674	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678674/ERR4678674.lite.1
ERR4682462	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682462/ERR4682462.lite.1
ERR4682463	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682463/ERR4682463.lite.1
ERR4682464	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682464/ERR4682464.lite.1
ERR4682773	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682773/ERR4682773.lite.1
ERR4682774	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682774/ERR4682774.lite.1
ERR4682775	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682775/ERR4682775.lite.1
ERR2592333	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2592/ERR2592333/ERR2592333.lite.2
ERR2683137	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR002/2683/ERR2683137/ERR2683137.lite.1
